2026-08-17 21:21:00,770 | INFO | MainThread | logging to runs/run_20260817_212100_lora_train_st1_classifier_FacebookAI_roberta-base.log
2026-08-17 21:21:00,770 | INFO | MainThread | config: {'train': 'public_data_dev/train.jsonl', 'dev': 'public_data_dev/dev.jsonl', 'model': 'FacebookAI/roberta-base', 'local': False, 'context': 'full', 'max_length': 512, 'epochs': 5, 'batch_size': 16, 'grad_accum_steps': 1, 'lr': 0.0002, 'head_lr': None, 'warmup_ratio': 0.06, 'lora_r': 16, 'lora_alpha': 32, 'lora_dropout': 0.1, 'target_modules': 'query,value', 'class_weight': True, 'oversample_rare_st1': 3, 'sample_size': None, 'test_holdout': 500, 'split_seed': None, 'seed': 42, 'device': None, 'output_dir': 'runs/st1-classifier-roberta-r16a32', 'no_wandb': True} device=cuda
2026-08-17 21:21:00,909 | INFO | MainThread | train/test-holdout split (fresh random split every run unless --split-seed is pinned): split_seed=200933478 train=1853 test_holdout=500
2026-08-17 21:21:00,910 | INFO | MainThread | train=1853 dist=digital_content_or_services=852 (46.0%), none=28 (1.5%), other=2 (0.1%), physical_goods=876 (47.3%), physical_services=95 (5.1%)
2026-08-17 21:21:00,911 | INFO | MainThread | dev=504 dist=digital_content_or_services=248, none=14, other=0, physical_goods=218, physical_services=24
2026-08-17 21:21:00,911 | INFO | MainThread | oversampled rare st1 labels ['none', 'other'] 3x: train now 1913 instances
2026-08-17 21:21:01,026 | INFO | MainThread | class_weight: digital_content_or_services=2.245, none=22.774, other=50.000, physical_goods=2.184, physical_services=20.137
2026-08-17 21:22:16,410 | INFO | MainThread | epoch 1: mean train loss = 1.4438
2026-08-17 21:22:25,758 | INFO | MainThread | epoch 1 dev metrics: accuracy=0.778, macro_f1=0.522, loss=0.703
2026-08-17 21:22:25,758 | INFO | MainThread | epoch 1 dev metrics per-label F1: digital_content_or_services=0.832, none=0.290, other=0.000, physical_goods=0.804, physical_services=0.684
2026-08-17 21:22:25,867 | INFO | MainThread | epoch 1: new best macro_f1=0.522, saved to runs/st1-classifier-roberta-r16a32/best
2026-08-17 21:23:44,675 | INFO | MainThread | epoch 2: mean train loss = 0.8232
2026-08-17 21:23:54,114 | INFO | MainThread | epoch 2 dev metrics: accuracy=0.835, macro_f1=0.554, loss=0.481
2026-08-17 21:23:54,114 | INFO | MainThread | epoch 2 dev metrics per-label F1: digital_content_or_services=0.869, none=0.375, other=0.000, physical_goods=0.847, physical_services=0.680
2026-08-17 21:23:54,219 | INFO | MainThread | epoch 2: new best macro_f1=0.554, saved to runs/st1-classifier-roberta-r16a32/best
2026-08-17 21:25:13,338 | INFO | MainThread | epoch 3: mean train loss = 0.5468
